split,round,acc_mean,acc_std
negate_neg_nh,0,0.20902255639097742,0.07257099856850317
negate_neg_nh,1,0.1406015037593985,0.042272760291340146
negate_neg_nh,2,0.3015037593984962,0.11809299349812113
negate_neg_nh,3,0.3887218045112782,0.07436010399687094
negate_neg_nh,4,0.4458646616541353,0.12230704835186215
negate_pos_h,0,0.7992857142857143,0.09020667878798765
negate_pos_h,1,0.9992857142857143,0.002142857142857135
negate_pos_h,2,0.9928571428571429,0.01720227796970328
negate_pos_h,3,0.9864285714285714,0.024836198072448166
negate_pos_h,4,0.9792857142857143,0.02504078306136874
phrase_opinion_h,0,0.8984962406015038,0.05748315766480423
phrase_opinion_h,1,0.9315789473684211,0.05560352449468969
phrase_opinion_h,2,0.9887218045112782,0.014364641484618655
phrase_opinion_h,3,0.9872180451127818,0.028541733678349345
phrase_opinion_h,4,0.9751879699248119,0.03622312622690498
phrase_question_h,0,0.8021428571428573,0.08100453502043915
phrase_question_h,1,0.4892857142857143,0.10268090059470056
phrase_question_h,2,0.9099999999999999,0.08882452318119895
phrase_question_h,3,0.8207142857142857,0.0820309797128686
phrase_question_h,4,0.7421428571428572,0.09216500287583157
profanity_h,0,0.8957142857142857,0.05385164807134505
profanity_h,1,0.7407142857142857,0.1374717039530503
profanity_h,2,0.9842857142857142,0.0336245779883995
profanity_h,3,0.9792857142857143,0.022463121705023417
profanity_h,4,0.945,0.03656835924620059
profanity_nh,0,0.9870000000000001,0.020999999999999987
profanity_nh,1,0.999,0.0030000000000000022
profanity_nh,2,1.0,0.0
profanity_nh,3,1.0,0.0
profanity_nh,4,1.0,0.0
ref_subs_clause_h,0,0.8492857142857144,0.06972614067821015
ref_subs_clause_h,1,0.9157142857142857,0.07496938150515385
ref_subs_clause_h,2,0.9835714285714285,0.018911717564105326
ref_subs_clause_h,3,0.9757142857142858,0.018952141659173725
ref_subs_clause_h,4,0.96,0.037416573867739424
ref_subs_sent_h,0,0.8639097744360903,0.05818693959081459
ref_subs_sent_h,1,0.8691729323308269,0.07698601946568544
ref_subs_sent_h,2,0.9729323308270678,0.018169993945254988
ref_subs_sent_h,3,0.9909774436090226,0.012491163703636222
ref_subs_sent_h,4,0.9360902255639096,0.030680008666320546
slur_h,0,0.5256944444444445,0.057689067849833686
slur_h,1,0.6944444444444444,0.07695497320663926
slur_h,2,0.9270833333333333,0.025086655372483942
slur_h,3,0.9527777777777778,0.013819269959814157
slur_h,4,0.9625000000000001,0.009419902754340652
slur_homonym_nh,0,0.7066666666666667,0.035901098714230056
slur_homonym_nh,1,0.8366666666666667,0.048189440982669855
slur_homonym_nh,2,0.8,0.05962847939999442
slur_homonym_nh,3,0.6466666666666665,0.05416025603090642
slur_homonym_nh,4,0.5666666666666667,0.1
slur_reclaimed_nh,0,0.3098765432098765,0.06635730691544042
slur_reclaimed_nh,1,0.828395061728395,0.06109552114399318
slur_reclaimed_nh,2,0.5209876543209877,0.07566199232614598
slur_reclaimed_nh,3,0.6086419753086421,0.0817149666339403
slur_reclaimed_nh,4,0.6864197530864198,0.09142473373616601
spell_char_del_h,0,0.42928571428571427,0.06255201916837551
spell_char_del_h,1,0.8807142857142857,0.02654414882294577
spell_char_del_h,2,0.8635714285714287,0.04943042936227417
